iter	Passed	Remaining
805	1242	299
806	1244	297
807	1245	295
808	1246	294
809	1248	292
810	1250	291
811	1252	289
812	1253	288
813	1254	286
814	1256	285
815	1257	283
816	1259	282
817	1260	280
818	1261	278
819	1263	277
820	1264	275
821	1266	274
822	1268	272
823	1269	271
824	1271	269
825	1272	268
826	1273	266
827	1275	264
828	1276	263
829	1277	261
830	1279	260
831	1281	258
832	1283	257
833	1285	255
834	1286	254
835	1288	252
836	1289	251
837	1290	249
838	1291	247
839	1293	246
840	1294	244
841	1296	243
842	1299	241
843	1300	240
844	1302	238
845	1303	237
846	1305	235
847	1306	234
848	1307	232
849	1309	231
850	1310	229
851	1311	227
852	1314	226
853	1315	224
854	1317	223
855	1318	221
856	1319	220
857	1321	218
858	1322	217
859	1323	215
860	1325	213
861	1326	212
862	1327	210
863	1329	209
864	1331	207
865	1333	206
866	1334	204
867	1336	203
868	1337	201
869	1338	200
870	1340	198
871	1341	196
872	1343	195
873	1344	193
874	1347	192
875	1348	190
876	1349	189
877	1350	187
878	1352	186
879	1353	184
880	1355	183
881	1356	181
882	1358	179
883	1359	178
884	1362	177
885	1364	175
886	1366	174
887	1367	172
888	1369	170
889	1370	169
890	1371	167
891	1373	166
892	1374	164
893	1376	163
894	1378	161
895	1380	160
896	1381	158
897	1383	157
898	1385	155
899	1386	154
900	1388	152
901	1389	150
902	1390	149
903	1392	147
904	1395	146
905	1396	144
906	1397	143
907	1399	141
908	1400	140
909	1402	138
910	1403	137
911	1404	135
912	1406	133
913	1407	132
914	1408	130
915	1411	129
916	1412	127
917	1413	126
918	1415	124
919	1416	123
920	1417	121
921	1419	120
922	1421	118
923	1422	117
924	1424	115
925	1427	114
926	1428	112
927	1430	111
928	1432	109
929	1433	107
930	1435	106
931	1436	104
932	1437	103
933	1439	101
934	1441	100
935	1444	98
936	1445	97
937	1446	95
938	1448	94
939	1449	92
940	1451	91
941	1452	89
942	1455	87
943	1458	86
944	1460	84
945	1461	83
946	1462	81
947	1464	80
948	1465	78
949	1466	77
950	1467	75
951	1469	74
952	1470	72
953	1471	70
954	1473	69
955	1475	67
956	1476	66
957	1477	64
958	1478	63
959	1480	61
960	1481	60
961	1482	58
962	1483	57
963	1484	55
964	1486	53
965	1487	52
966	1489	50
967	1491	49
968	1492	47
969	1493	46
970	1495	44
971	1496	43
972	1497	41
973	1498	40
974	1499	38
975	1501	36
976	1502	35
977	1504	33
978	1506	32
979	1507	30
980	1508	29
981	1510	27
982	1511	26
983	1512	24
984	1513	23
985	1515	21
986	1516	19
987	1517	18
988	1518	16
989	1520	15
990	1522	13
991	1524	12
992	1525	10
993	1526	9
994	1527	7
995	1529	6
996	1530	4
997	1531	3
998	1532	1
999	1534	0
